date,price_open,price_high,price_low,price_close,amount
36612,1736.7,1776.02,1736.7,1775.91,20103.07
36613,1788.83,1799.95,1774.48,1791.44,22388.47
36614,1797.88,1803.83,1763.62,1788.81,19240.34
36615,1793.68,1811.06,1790.85,1810.98,18011.62
36616,1810.55,1810.9,1780.41,1800.23,18552.25
36619,1799.58,1816.86,1798.25,1801,17921.35
36620,1795.16,1795.16,1755.98,1760.69,14832.92
36621,1756.3,1776.72,1746.3,1771.2,12164.24
36622,1775.78,1809.17,1775.68,1809.14,14467.56
36623,1816.79,1822.62,1807.54,1819.9,15683.97
36626,1826.61,1831.85,1815.99,1826.06,16191.77
36627,1826.4,1828.06,1812.01,1821.17,14330.84
36628,1822.4,1823.83,1785.33,1807.33,12673.77
36629,1807.84,1832.08,1807.71,1831.55,14957.16
36630,1835.86,1840.19,1820.67,1833.67,16789.07
36633,1829.62,1829.93,1778.88,1795.06,18006.79
36634,1794.34,1813.57,1779.29,1813.5,12563.87
36635,1819.08,1831.57,1817.21,1828.71,13317
36636,1831.66,1847.51,1831.49,1847.03,16462.8
36637,1851.31,1858.27,1834.85,1841.06,17091.94
36640,1844.7,1848.97,1827.17,1837.4,15628.04
36641,1838.05,1841.86,1815.63,1833.47,11112.37
36642,1835.67,1842.89,1826.39,1832.78,10596.52
36643,1835.6,1840.57,1803.58,1806.83,12226.65
36644,1805.5,1836.33,1797.71,1836.32,11368.1
36654,1848.17,1852.9,1828.1,1836.64,9370.45
36655,1839,1839.29,1799.82,1806.64,9442.89
36656,1801.43,1801.64,1750.01,1752.69,8447.19
36657,1750.86,1762.13,1718.89,1724.05,8141.31
36658,1725.87,1740.95,1715.06,1720.61,7146.07
36661,1722.64,1726.72,1695.53,1704.59,6642.87
36662,1706.73,1725.9,1706.73,1724.54,5311.44
36663,1727.43,1736.27,1722.71,1725.4,5381.9
36664,1725.6,1758.54,1719.84,1758.54,7887.89
36665,1761.79,1777.98,1754.88,1777.83,10186.38
36668,1785.89,1830.93,1783.3,1824.74,15293.81
36669,1834.44,1836.99,1811.58,1832.08,12572.76
36670,1835.56,1861.48,1831.84,1855.49,16279.51
36671,1866.56,1880.72,1860.78,1880.7,18349.95
36672,1885.75,1890.69,1860.92,1879.62,18315.58
36675,1885.55,1900.67,1882.74,1898.75,18860.83
36676,1903.53,1908.31,1868.61,1877.47,16860.8
36677,1875.46,1894.58,1869.34,1894.55,16247.71
36678,1900.53,1906.82,1890,1903.49,15427.01
36679,1906.16,1916.25,1897.71,1916.25,17480.91
36682,1921.97,1930.34,1889.82,1899.09,21494.09
36683,1898.59,1925.55,1891.67,1925.54,16217.41
36684,1934.38,1940.22,1921.38,1935.03,15843.6
36685,1937.2,1938.55,1913.37,1925.21,15226.68
36686,1926.15,1929.95,1896.06,1900.79,14353.96
36689,1896.43,1912.59,1884.62,1912.56,12487.75
36690,1918.19,1938.67,1917.19,1938.67,13872.24
36691,1944.44,1949.17,1929.71,1932.29,15923.46
36692,1933.06,1942.33,1925.91,1942.29,14026.91
36693,1945.7,1947.46,1919.4,1926.94,14588.99
36696,1924.69,1926.98,1910.47,1915.21,12038.24
36697,1913.07,1913.07,1888.08,1895.35,9752.54
36698,1894.78,1913.15,1894.63,1913.13,8754.41
36699,1918.16,1921.15,1906.3,1913.9,9545.65
36700,1915.31,1939.63,1913.65,1939.63,12747.64
36703,1946.7,1953.34,1943.25,1948.64,14136.45
36704,1949.78,1952.46,1938.14,1942.9,11628.69
36705,1943.98,1953.06,1940.05,1947.48,12112.09
36706,1949.85,1951.13,1924.47,1937.26,12264.64
36707,1937.84,1941.4,1924.97,1928.11,12624.4
36710,1917.44,1917.45,1890.53,1895.64,11983.82
36711,1891.21,1907.94,1888.25,1907.93,8581.33
36712,1910.42,1918.91,1904.47,1909.19,8073.74
36713,1909.24,1910.05,1896.66,1902.55,8824.96
36714,1904.09,1932.83,1904.09,1932.79,10742.17
36717,1938.84,1948.06,1932.96,1948.02,14072.03
36718,1952.26,1960.6,1947.67,1960.54,14391.81
36719,1965.23,1974.41,1960.35,1973.37,14906.32
36720,1978.55,1984.07,1963.55,1979.2,19350.1
36721,1981.78,1987.22,1972.62,1987.19,16334.69
36724,1992.89,1997.94,1980.22,1982.48,15661.44
36725,1982.5,1993.99,1981.74,1993.99,11080.58
36726,2000.33,2004.46,1987.42,1998.43,12685.11
36727,1999.09,2003.8,1979.88,1991.56,12997.4
36728,1994.42,1998.35,1991.84,1996.34,10809.19
36731,1998.25,1999.9,1982.88,1989.24,11390.18
36732,1990.15,1997.85,1989.09,1996.58,11050.17
36733,1999.44,2012.4,1999.4,2012.32,11679.82
36734,2017.46,2025,2004.55,2012.35,14663.28
36735,2014.11,2016.94,2006.17,2012.79,13327.39
36738,2016.14,2023.57,2008.64,2023.54,15328.03
36739,2027.01,2031.93,2023.45,2028.15,11273.85
36740,2030.79,2033.19,2018.48,2030.68,11096.05
36741,2032.94,2038.65,2030.1,2036.3,13159.63
36742,2037.47,2041.28,2013.45,2026.36,14517.95
36745,2025.18,2039.42,2017.9,2039.42,13194.1
36746,2042.75,2050.07,2040.78,2049.92,13489.7
36747,2051.65,2061.28,2048.49,2061.18,15774.78
36748,2065.31,2067.75,2053.86,2065.94,17966.58
36749,2067.78,2070.3,2055.2,2062.67,15406.53
36752,2065.94,2076.33,2065.94,2076.3,13785.73
36753,2079.07,2082.74,2066.16,2076.82,12776.11
36754,2078.49,2083.47,2072.98,2083.47,13458.29
36755,2086.81,2092.33,2086.56,2091.59,13776.08
36756,2093.63,2097.32,2086.75,2090.18,12914.59
36759,2095.38,2108.88,2093.42,2108.69,16485.78
36760,2112.02,2114.52,2074.52,2074.7,15718.83
36761,2064.05,2080.14,1980.35,2057.92,23007.11
36762,2058.53,2073.95,2043.21,2071.16,17062.33
36763,2073.72,2086.72,2066.33,2086.7,13463.88
36766,2092.12,2100.7,2085.6,2100.59,14500.83
36767,2103.03,2105.63,2094.61,2105.48,13338.55
36768,2107.02,2108.1,2075.16,2076.14,13796.94
36769,2062.84,2064.76,2019.45,2021.2,13998.25
36770,2009.15,2026.35,1997.72,1999.86,11909.3
36773,1994.89,2010.6,1981.23,2010.6,9573.13
36774,2015.06,2020.85,1959.59,1963.79,8915.76
36775,1955.5,1964.27,1923.6,1925.91,8866.11
36776,1929.3,1963.23,1929.3,1950.66,7624.53
36777,1955.15,1963.89,1945.92,1959.31,7143.5
36780,1963.27,1972.08,1956.08,1972.04,7367.59
36781,1975.41,1979.32,1965.4,1979.1,6906.09
36782,1980.53,1995.32,1975.13,1988.94,7726.37
36783,1989.97,1992.37,1973.02,1979.51,6510.99
36784,1978.04,1978.47,1966.88,1978.43,6103.33
36787,1979.53,1981.13,1946.18,1946.75,6380.46
36788,1937.32,1937.37,1895.49,1903.15,7938.02
36789,1902.91,1922.3,1892.28,1922.29,6535.65
36790,1924.83,1927.52,1905.65,1907.31,6417.93
36791,1904.57,1904.57,1888.09,1891.98,6447.67
36794,1889.9,1896.72,1874.21,1875.91,4674.53
36795,1878.31,1890.67,1878.05,1887.83,4629.19
36796,1889.88,1914.11,1889.87,1914.09,4291.88
36797,1915.5,1917.06,1886.94,1889.29,5118.58
36798,1888.2,1910.49,1888.07,1910.16,5101.31
36808,1912.08,1915.5,1897.24,1915.35,5724.8
36809,1917.9,1942.17,1917.68,1942.15,7010.88
36810,1944.25,1948.01,1931.46,1933.73,7663.06
36811,1933.14,1933.33,1918.47,1926.32,7630.47
36812,1927.35,1932.32,1911.36,1918.16,7331.12
36815,1917.45,1917.56,1897.91,1902.81,6096.27
36816,1902.07,1909.49,1896.95,1909.49,4690.52
36817,1911.71,1922.85,1911.71,1922.85,7782
36818,1925.21,1927.37,1911.18,1913.42,5938.2
36819,1913.16,1947.47,1912.38,1947.46,9689.26
36822,1952.96,1960.86,1945.67,1958.94,9638.93
36823,1960.37,1962.13,1945.53,1956.34,7342.63
36824,1957.38,1978.99,1957.31,1977.25,11408.58
36825,1979.3,1980.63,1962.2,1967.67,8684.37
36826,1968.17,1971.79,1957.74,1967.41,7786.52
36829,1967.65,1974.24,1962.81,1973.58,9374.29
36830,1974.53,1979.99,1956.42,1961.29,7911.98
36831,1961.08,1977.37,1959.72,1977.36,8196.13
36832,1981.77,1992.86,1980.89,1984.26,8841.71
36833,1984.99,1989.11,1977.21,1981.63,7328.83
36836,1983.07,1992.88,1982.75,1991.17,8928.64
36837,1993.45,1997.08,1990.06,1997.08,7278.83
36838,1999.15,2012.99,1998.35,2012.91,8600.39
36839,2016.22,2032.52,2014.84,2032.48,13103.3
36840,2037.08,2051.34,2033.63,2047.46,15893.17
36843,2054.48,2071.69,2053.44,2070.79,15478.74
36844,2072.79,2085.12,2055.21,2085.12,14376.83
36845,2087.28,2092.65,2074.38,2081.91,14338.16
36846,2081.14,2096.05,2080.61,2095.98,14983.27
36847,2098.89,2104.7,2084.9,2093.24,13085.71
36850,2092.59,2101.4,2078.28,2101.39,13467.54
36851,2104.07,2112.91,2095.58,2097.98,12041.54
36852,2097.28,2113.35,2091.62,2113.3,12051.09
36853,2119.16,2125.72,2109.22,2119.44,14288.67
36854,2119.01,2125.41,2045.51,2053.37,16602.8
36857,2041.16,2062.81,2031.93,2049.67,11467.96
36858,2052.78,2079.48,2052.78,2079.4,9261.74
36859,2081.5,2082.9,2055.94,2067.5,10754.44
36860,2067.07,2072.29,2057.04,2070.61,9115.26
